itemId,itemCooldown,fighterHealth,fighterAttackInterval,fighterProjectileDamage,equipmentInterval,equipmentDamageMultiplier,explosionRadius,areaDamageMultiplier,maximumChainTargets,chainDamageMultiplier,maximumLinkedTargets
aircraft_charge,2.3,7,0.3,0.65,,,,,,,
aircraft_shield,3,20,0.8,1.2,,,,,,,
aircraft_explosive,3.6,10,0.5,0.7,,,,,,,
aircraft_sniper,3.8,7,1,2.2,,,,,,,
aircraft_laser,2.8,8,0.75,0.8,,,,,,,
aircraft_shotgun,2.8,16,1,0.65,,,,,,,
aircraft_l,3.5,,,,,,,,,,
equipment_first,3.2,,,,0.9,0.75,0.8,0.4,,,
equipment_rapid_cannon,2.8,,,,0.55,0.65,,,,,
equipment_wave_emitter,3,,,,0.75,0.8,,,,,
equipment_laser_link,2.5,,,,2.5,0.45,,,,,2
equipment_1x2,2.8,,,,0.8,0.9,,,,,
equipment_arc_coil,3.2,,,,0.9,0.55,,,2,0.4,
